Tom	15:48 1/3/2022	130
Tom	15:48 1/3/2022	111
Mike	20:52 1/3/2022	152
Tom	20:52 1/3/2022	176
Sk	20:52 1/3/2022	114
TomH	18:42 1/4/2022	121
sk	18:43 1/4/2022	130
Mike	18:43 1/4/2022	175
Tom	18:43 1/4/2022	100
Lana	18:43 1/4/2022	88
sk	18:43 1/4/2022	91
sk	16:2 1/5/2022	102
TomH	16:2 1/5/2022	140
TomH	16:3 1/5/2022	179
Mike	16:3 1/5/2022	159
Jim	16:3 1/5/2022	129
Tom	16:3 1/5/2022	135
Lana	16:3 1/5/2022	112
shan	16:3 1/5/2022	159
sara	16:4 1/5/2022	164
sk	16:6 1/5/2022	152
sk	16:6 1/5/2022	200
Lana	16:6 1/5/2022	161
sk	16:6 1/5/2022	124
Lana	16:6 1/5/2022	165
Tom	16:7 1/5/2022	141
Mike	16:9 1/5/2022	122
Jim	16:9 1/5/2022	131
Tom	16:9 1/5/2022	139
Lana	16:10 1/5/2022	124
TomH	16:10 1/5/2022	99
hm	16:10 1/5/2022	100
shan	16:12 1/5/2022	136
shan	16:12 1/5/2022	139
sara	16:13 1/5/2022	168
Mike	17:12 1/5/2022	129
